OBJECTID,HELCOM_ID,Country,Year,Spill_ID,Latitude,Longitude,Length__km,Width__km_,Area__km2_,Spill_cat,EstimVol_m3,Vol_Category,Polluter,Date,Time_UTC,x,y,Wind_speed,Wind_direc,FlightType,Remarks,Type_Substance
83,5480,Sweden,2021,21UTSLÄPP0060,55.8555555555556,12.8416666666667,1.0,0.01,0.01,Oil,0.0004,1.0,Unknown,1620000000000,1620045720000,1429527.794300001,7529714.4256,-,,N,,
84,5479,Sweden,2021,21UTSLÄPP0040,59.6252777777778,19.025,0.44,0.04,0.0176,Oil,0.000282,1.0,Unknown,1617235200000,1617273420000,2117853.3123000003,8316778.519699998,-,,N,,
85,5478,Sweden,2021,21UTSLÄPP0059,57.6916666666667,11.6583333333333,0.24,0.02,0.0048,Oil,0.000238,1.0,Unknown,1620000000000,1620039780000,1297799.7300000004,7902823.336800002,-,,N,,
853,4710,Poland,2016,PL-01,55.1461,17.8871,0.35,0.2,0.05,Oil,0.02,1.0,Unknown,1456617600000,-2209124340000,1991182.8636999987,7390272.930399999,Unknown,,N,,
860,4703,Germany,2016,GE-07,54.434999999999995,14.11,1.9,0.3,0.342,Oil,0.201096,1.0,Unknown,1477353600000,-2209126860000,1570718.0150000006,7252974.355999999,7.2022222222,310.0,N,,
862,4701,Germany,2016,GE-05,54.54833333333333,13.76,0.3,0.2,0.054,Oil,0.00216,1.0,Unknown,1479427200000,-2209135560000,1531756.1933999993,7274695.697499998,12.861111111,210.0,N,,
864,4699,Germany,2016,GE-03,54.665,13.196666666666667,1.0,0.05,0.035,Oil,0.00231,1.0,Ship,1458259200000,-2209104240000,1469046.2135000005,7297119.025799997,6.6877777778,360.0,N,,
866,4697,Germany,2016,GE-01,54.66833333333333,12.605,6.2,1.3,5.642,Oil,0.22568,2.0,Unknown,1463702400000,-2209134420000,1403182.181499999,7297760.637699999,10.803333333,280.0,N,,
867,4696,Finland,2016,FI-54,60.4129,26.256033333333335,,,,Oil,0.1,1.0,Ship,1479081600000,-2209134600000,2922808.261,8492244.871399999,,,N,,
868,4695,Finland,2016,FI-48,64.53283333333333,24.22735,,,,Oil,0.3,2.0,Ship,1475712000000,-2209134000000,2696976.2654,9486379.8869,,,N,,
871,4692,Finland,2016,FI-41,60.297666666666665,22.3075,0.132,0.043,0.002,Oil,0.0004,1.0,Unknown,1472601600000,-2209113420000,2483259.5408000015,8466310.3697,,,N,,
872,4691,Finland,2016,FI-36,60.464333333333336,26.8865,0.519,0.098,0.016,Oil,0.0019,1.0,Unknown,1469750400000,-2209111980000,2992991.4893000014,8503850.156599998,,,N,,
873,4690,Finland,2016,FI-34,60.39,22.1255,0.138,0.043,0.002,Oil,0.0001,1.0,Unknown,1468195200000,-2209136100000,2462999.3935000002,8487083.677000001,,,N,,
874,4689,Finland,2016,FI-32,60.452666666666666,26.930833333333332,0.037,0.034,0.001258,Oil,0.0013,1.0,Unknown,1467763200000,-2209110180000,2997926.6532999985,8501216.108800001,,,N,,
878,4685,Finland,2016,FI-28,60.085166666666666,25.13083333333333,1.4,0.25,0.03,Oil,0.004,1.0,Unknown,1466899200000,-2209124100000,2797551.5698999986,8418723.767700002,,,N,,
879,4684,Finland,2016,FI-25,59.922333333333334,23.975833333333334,0.252,0.106,0.007,Oil,0.0056,1.0,Unknown,1466726400000,-2209122480000,2668977.5579999983,8382466.524300002,,,N,,
880,4683,Finland,2016,FI-22,60.016333333333336,25.51033333333333,0.095,0.014,0.001,Oil,0.0024,1.0,Ship,1465689600000,-2209122780000,2839797.3165999986,8403375.2245,,,N,,
883,4680,Finland,2016,FI-2,60.0105,22.860500000000002,,,,Oil,,1.0,Ship,1454112000000,-2209122000000,2544819.219300002,8402075.970200002,,,N,OIL ON ICE,
886,4677,Finland,2016,FI-12,61.12623333333333,21.43835,1.0,2.0,,Oil,,1.0,Unknown,1463184000000,-2209117200000,2386506.205499999,8654866.028099999,,,N,Amount so small that it could not be measured,
887,4676,Finland,2016,FI-11,61.1149,21.4469,,,,Oil,,1.0,Unknown,1462060800000,-2209110300000,2387457.9871999994,8652253.803999998,,,N,Amount so small that it could not be measured,
889,4674,Finland,2016,EE-05FIN,59.82566666666666,24.539166666666667,0.553,0.343,0.059,Oil,0.0023,1.0,Unknown,1466726400000,-2209125780000,2731687.537900001,8361026.3517,,,N,,
891,4672,Finland,2016,EE-03FIN,59.8067,24.5767,0.2,0.5,0.07,Oil,0.003,1.0,Unknown,1458518400000,-2209135260000,2735865.7293,8356826.945799999,,,N,,
893,4670,Finland,2016,EE-01FIN,59.8883,24.8867,3.2,0.5,0.467,Oil,0.019,1.0,Unknown,1457740800000,-2209101780000,2770374.7716000006,8374910.992700003,,,N,,
895,4668,Estonia,2016,EE-11,59.375,22.975,1.9,1.7,1.045,Oil,0.041,1.0,,1468195200000,-2209149180000,2557565.300900001,8261884.030199997,,,N,,
898,4665,Estonia,2016,EE-08,59.3783,22.51,1.3,1.1,0.317,Oil,0.013,1.0,,1465776000000,-2209126980000,2505801.7377000004,8262605.192500003,,,N,,
899,4664,Estonia,2016,EE-07,58.325,21.0933,3.0,0.2,0.48,Oil,0.019,1.0,,1464825600000,-2209139100000,2348095.415100001,8035902.020199999,,,N,,
900,4663,Estonia,2016,EE-06,59.46,24.71,0.7,0.4,0.11,Oil,0.159,2.0,,1462665600000,-2209135200000,2750704.6174999997,8280481.833999999,,,N,,
905,4658,Estonia,2016,EE-01,59.5567,24.8733,0.4,0.02,0.004,Oil,0.0002,1.0,,1455321600000,-2209116480000,2768883.090300001,8301696.5207,,,N,,
915,4648,Denmark,2016,,57.4174,11.0147,7.38,1.8,,Oil,0.3004,2.0,Unknown,1471046400000,-2209107600000,1226150.7952000014,7845914.500799999,240,10.0,N,,
916,4647,Denmark,2016,,55.1076,14.221,2.6,1.1,,Oil,0.654654,2.0,Unknown,1458086400000,-2209116420000,1583074.4785000011,7382777.145800002,64,7.0,N,,
92,5471,Sweden,2021,21UTSLÄPP0042,56.1594444444444,14.8872222222222,0.22,0.02,0.0044,Oil,0.000224,1.0,Unknown,1617235200000,1617284400000,1657237.9970999993,7590222.233800001,-,,N,,
93,5470,Sweden,2021,21UTSLÄPP0038,63.8091666666667,20.8702777777778,0.09,0.03,0.0027,Oil,0.000186,1.0,Ship,1617062400000,1617116400000,2323268.6948999986,9301468.791299999,-,,N,KARL ASTRID,
94,5469,Sweden,2021,21UTSLÄPP0039,63.6833333333333,20.3472222222222,0.15,0.01,0.0015,Oil,4.5e-05,1.0,Unknown,1617062400000,1617117660000,2265042.4169000015,9269801.986199997,-,,N,,
987,4576,Sweden,2015,SE-48,55.7,14.95,15.2,1.05,15.96,Oil,0.6607,2.0,Unknown,1435449600000,-2209161600000,1664226.3874000013,7498924.4777000025,,,,,
999,4564,Sweden,2015,SE-49,61.107,18.6527,1.64,0.46,0.754,Oil,0.296,2.0,Unknown,1435536000000,-2209101000000,2076409.0659000017,8650433.4841,,,,,
